Titles,Ratings,Number_Of_Ratings,Prices,Durations,Tour_Provider
"See 10+ Top Paris Sights, Fun Guide",no data provided,no data provided,£29,2-3 hours,Trip.com
Best of the Louvre Tour with skip-the-line Ticket,no data provided,no data provided,£47,0-1440 minutes,Trip.com
4H Audioguided Tour in E-Scooter in Paris (App + GPS),no data provided,no data provided,£47,4 hours,Trip.com
Paris: Montmartre Neighbourhood Tour ,no data provided,no data provided,£36,2 hours,Trip.com
Montmartre Bohemian Audio Guided Tour with Sacre Coeur Basilica,no data provided,no data provided,£9,2 hours,Trip.com
Private Return Transfer Thoiry Zoo Safari from Paris,no data provided,no data provided,£39,5 hours,Trip.com
Add one of these authentic and customized tours of Paris on your to do list!,no data provided,no data provided,£19,1-2 hours,Trip.com
Sainte-Chapelle: A Medieval Marvel - Immersive Podcast Tour by Expert Historian,no data provided,no data provided,£5,45-60 minutes,Trip.com
Beyond the museum: An outdoor podcast walk of the Louvre & Tuileries Gardens,no data provided,no data provided,£7,45-60 minutes,Trip.com
Coco Chanel's Paris Walking Audio Tour,no data provided,no data provided,£5,30 minutes,Trip.com
Paris Romantic Private Tour: Lovers Montmartre Exploration Game,no data provided,no data provided,£9,1-2 hours,Trip.com
Versailles Timed Ticket All Access by Train,no data provided,no data provided,£42,5 hours,Trip.com
Private City Exploration Game for Couples in Paris,no data provided,no data provided,£6,2 hours,Trip.com
Sacred-Heart Basilica Guided Tour,no data provided,no data provided,£10,1 hour,Trip.com
Le Marais: The Paris Neighborhood That Has It All Walking Audio Tour,no data provided,no data provided,£6,1 hour,Trip.com
Palais Royal - History & Shopping in Paris (Small Group Walking Tour),no data provided,no data provided,£35,1-2 hours,Trip.com
Small-Group Beyond the Eiffel Tower Tour in Paris,no data provided,no data provided,£42,3 hours,Trip.com
"Secret Montmartre, smartphone audioguided tour",no data provided,no data provided,£9,1-2 hours,Trip.com
Île de la Cité: Where Paris Was Born Walking Audio Tour,no data provided,no data provided,£6,1 hour,Trip.com
Flâneurs of Belleville: Explore the art of city walking on an audio walking tour,no data provided,no data provided,£4,30-45 minutes,Trip.com
Run & see 10 secrets in Paris at dawn,no data provided,no data provided,£23,2 hours,Trip.com
The Medieval Heart of Paris - History Walk (Small Group Tour),no data provided,no data provided,£48,2-3 hours,Trip.com
Walking tour,no data provided,no data provided,£47,2 hours,Trip.com
Watch the Renovation of Notre Dame of Paris with a local tour Guide,no data provided,no data provided,£16,1-2 hours,Trip.com
Discover Paris: 2-Hour Walking Tour of the Old Town,no data provided,no data provided,£10,2 hours,Trip.com
Tootbus Paris Vintage Guided Tour,no data provided,no data provided,£25,1-2 hours,Trip.com
The Paris Monuments Tour,no data provided,no data provided,£39,3-4 hours,Trip.com
Montmartre: Secret Stories of Paris - self-guided podcast tour,no data provided,no data provided,£5,40-50 minutes,Trip.com
Montmartre's Secret - Outdoor Escape Game / Historical Treasure Hunt,no data provided,no data provided,£25,2 hours,Trip.com
Through Paris in the footsteps of Audrey Hepburn Walking Audio Tour,no data provided,no data provided,£6,1 hour,Trip.com
Hidden Treasures of the Marais Kids and Family Tour,no data provided,no data provided,£40,2 hours,Trip.com
Explore Batignolles: Bohemian and Artsy Paris Tour,no data provided,no data provided,£30,3 hours,GetYourGuide
Paris: Audio Guided Walking Tour Around the Eiffel Tower,no data provided,no data provided,£9,1-2 hours,GetYourGuide
French Wine Tasting in the Heart of Paris,no data provided,no data provided,£57,2 hours,GetYourGuide
Versailles: Palace Guided Tour with Skip-the-Line Tickets,no data provided,no data provided,£47,1-2 hours,GetYourGuide
Paris: Walking Tour of Artsy Batignolles,no data provided,no data provided,£50,3 hours,GetYourGuide
Paris and the Art of Music: 2-Hour Walking Tour,no data provided,no data provided,£55,2 hours,GetYourGuide
Paris: Chocolate and Pastry Tour with Tastings,no data provided,no data provided,£65,2-3 hours,GetYourGuide
Paris: UNESCO Headquarters Tour,no data provided,no data provided,£13,1-2 hours,GetYourGuide
Paris: The Tuileries Gardens Quest,no data provided,no data provided,£11,1-2 hours,GetYourGuide
Paris 2-Day Tour: Montmartre-Seine Cruise-Eiffel Tower,no data provided,no data provided,£58,2 days,GetYourGuide
Paris: 2-Hour Breakfast & French Lesson w/ Licensed Teacher,no data provided,no data provided,£43,2 hours,GetYourGuide
Paris: Food Tour with Optional Lunch & Wine Tasting,no data provided,no data provided,£51,2 hours,GetYourGuide
"Musée d’Orsay: ""Meet the Impressionists"" Highlights Tour",no data provided,no data provided,£50,2 hours,GetYourGuide
Paris: The Best of Royal Life in Three Audio Guide Tours,no data provided,no data provided,£14,3 hours,GetYourGuide
Paris: Montmartre 3-Hour Challenge Course,no data provided,no data provided,£34,2 hours,GetYourGuide
Seine River Direct Access Guided Cruise by Vedettes de Paris,no data provided,no data provided,£15,1 hour,Trip.com
Montmartre Street Art Tour with an Artist,no data provided,no data provided,£31,2 hours,Trip.com
Montmartre: Explore this classic Parisian neighborhood on an audio walking tour,no data provided,no data provided,£6,1-2 hours,Trip.com
Shop Paris like a Local: Unique French Handcrafted Products (Small Group Tour),no data provided,no data provided,£30,2 hours,Trip.com
Le Marais Guided Walking Tour,no data provided,no data provided,£39,2-3 hours,Trip.com
The Soul of Montmartre Walking Tour,no data provided,no data provided,£28,1-2 hours,Trip.com
"BEST OF Artists in Paris, 3 smartphone audioguided tours ",no data provided,no data provided,£17,4-5 hours,Trip.com
1 hour Sainte Chapelle- skip the line access - English or Español,no data provided,no data provided,£35,45 minutes,Trip.com
Musée d'Orsay Dedicated Entrance Tickets,no data provided,no data provided,£18,2 hours,Trip.com
Paris Undercover,no data provided,no data provided,£17,35 minutes,Trip.com
C'est Amour Romantic Parisian Walking Tours,no data provided,no data provided,£47,2 hours,Trip.com
"Explore the Marais, Montmartre and Île de la Cité with three audio walking tours",no data provided,no data provided,£14,1-4 hours,Trip.com
Eiffel Tower Second Floor Access Guided Visit,no data provided,no data provided,£44,2-3 hours,Trip.com
2h30 Audioguided Tour in Electric Scooter in Paris (App + GPS),no data provided,no data provided,£39,2-3 hours,Trip.com
Hidden water & secret villages: A self-guided audio tour around Parc Montsouris,no data provided,no data provided,£6,1-2 hours,Trip.com
Finding the Lost Generation in Montparnasse Walking Audio Tour,no data provided,no data provided,£6,1 hour,Trip.com
Self-guided tour in Paris with Skip the Line access to The Catacombs of Paris,no data provided,no data provided,£40,1-2 hours,Trip.com
"Paris Scavenger Hunt: Churches, Charms, Shells & Seine",no data provided,no data provided,£9,2 hours,Trip.com
Marais: Explore this historic neighbourhood on a kid-friendly audio walking tour,no data provided,no data provided,£4,45-75 minutes,Trip.com
Visit Sacré-Coeur and Montmartre with a Guide,no data provided,no data provided,£13,1 hour,Trip.com
Père Lachaise Cemetery Sex and Death Walking Tour,no data provided,no data provided,£25,1-2 hours,Trip.com
"Paris Criminal Past, audioguided walking tour",no data provided,no data provided,£9,1-30 minutes,Trip.com
Bistro Parisien 3-Course-Dinner and Seine River Sightseeing Cruise,no data provided,no data provided,£41,3 hours,Trip.com
Louvre Museum Ticket With Skip The Line Fast Track Entrance,no data provided,no data provided,£33,1 day,Trip.com
Gothic Paris - Castles & Cathedrals (Marais History Walk-Small Group Tour),no data provided,no data provided,£47,2 hours,Trip.com
Belleville Street Art Tour with an Artist,no data provided,no data provided,£27,2 hours,Trip.com
Bistro Parisien 3-Course-Lunch and Seine River Sightseeing Cruise ,no data provided,no data provided,£41,2-3 hours,Trip.com
"America's Founding Fathers in Paris, Walk in their Footsteps (Small Group Tour) ",no data provided,no data provided,£39,2 hours,Trip.com
Musée de l'Orangerie Skip-the-Line Ticket with Audio Tour,no data provided,no data provided,£22,45 minutes,Trip.com
Paris 1920: Lost Generation Writers of the Left Bank (Small Group Walking Tour),no data provided,no data provided,£43,2 hours,Trip.com
Treasure hunt in Paris - In the footsteps of Eugene,no data provided,no data provided,£7,2 hours,Trip.com
C'est Amour Tour of Local Galleries and Up and Coming Designers,no data provided,no data provided,£47,2 hours,Trip.com
French Group Tour 180 min ,no data provided,no data provided,£43,3 hours,Trip.com
Le Marais: Secret Stories & Invisible Details Walking Audio Tour,no data provided,no data provided,£5,40 minutes,Trip.com
Family Experience : Sacred Heart and Montmartre Tour,no data provided,no data provided,£33,2 hours,Trip.com
Escape game in the covered passages of Paris,no data provided,no data provided,£27,2 hours,Trip.com
The Butte Montmartre as you have never seen.,no data provided,no data provided,£11,2 hours,Trip.com
Arc de Triomphe Access with Seine River Cruise & Breakfast on Champs-Elysées,no data provided,no data provided,£33,2-4 hours,Trip.com
Paris’ Hidden Gems in Le Marais,no data provided,no data provided,£25,1-2 hours,Trip.com
Tootbus Must See Paris: Hop-on Hop-off Bus Tour & Cruise,no data provided,no data provided,£42,2 hours,Trip.com
Montmartre: The heart of art and bohemia,no data provided,no data provided,£8,1 hour,Trip.com
"Artists in Montparnasse, smartphone audioguided tour",no data provided,no data provided,£9,1-2 hours,Trip.com
Flyview : Pack 2 experiences,no data provided,no data provided,£25,1 hour,Trip.com
Personal Paris City Tour Audio Guide. City map and earphone included!,no data provided,no data provided,£18,No data provided,Trip.com
Fast-Track Louvre Museum E-Ticket with Mobile App Audio Tour ,no data provided,no data provided,£34,1-2 hours,Trip.com
Eiffel Tower: Podcast Tour from Trocadero to the Eiffel Tower,no data provided,no data provided,£5,40-50 minutes,Trip.com
One Hour Père Lachaise Cemetery Self-guided Audio Tour,no data provided,no data provided,£4,1 hour,Trip.com
"Notre-Dame, City Island and St Severin Church Guided Tour",no data provided,no data provided,£13,1 hour,Trip.com
Seine Cruise and Private Audio-Guided Eiffel Tower District Tour ,no data provided,no data provided,£22,2-3 hours,Trip.com
Walking tour to discover Paris with real guide in Italian (no app),no data provided,no data provided,£3,2 hours,Trip.com
Outdoor city escape game with guiding - Paris,no data provided,no data provided,£22,No data provided,Trip.com
Serial Killers. The Darkest Secrets of Paris 2,no data provided,no data provided,£28,2 hours,Trip.com
Harlem in Paris : the Birth of Jazz in France (Small Group Walking Tour),no data provided,no data provided,£47,2 hours,Trip.com
Montmartre in 1900 : Impressionist Art Walk (Small Group Tour),no data provided,no data provided,£43,2-3 hours,Trip.com
Musée d’Orsay Skip-the-Line Ticket and Mobile App Audio Tour,no data provided,no data provided,£27,2 hours,Trip.com
Scooter treasure hunt to visit Paris!,no data provided,no data provided,£30,2-3 hours,Trip.com
Paris 3-hour Sightseeing Bike Tour,no data provided,no data provided,£31,3 hours,Trip.com
Walking tour in Faubourg Saint Antoine,no data provided,no data provided,£14,2 hours,Trip.com
C'est Amour Traveling Singles Meet Up and Tour of Paris,no data provided,no data provided,£47,2 hours,Trip.com
Small-Group Walking Tour of the Secrets of Montmartre,no data provided,no data provided,£25,2 hours,Trip.com
Bundle of Père Lachaise Cemetery Walking Audio Tours,no data provided,no data provided,£8,1-3 hours,Trip.com
Paris Latin Quarter & Left Bank - History Walk (Small Group Tour),no data provided,no data provided,£43,2-3 hours,Trip.com
Paris Bike Tour + Bike Rental (Dutch Bike),no data provided,no data provided,£33,8 hours,Trip.com
Run the Lights,no data provided,no data provided,£39,2 hours,Trip.com
Harry Potter & Fantastic Beast's Tour in Paris with Fun Guide,no data provided,no data provided,£27,2 hours,Trip.com
Paris Seine Cruise and Marais district Walking Tour,no data provided,no data provided,£20,1-2 hours,Trip.com
15+ Top Sights Paris Tour with Fun Guide ,no data provided,no data provided,£39,3 hours,Trip.com
Louvre Museum Skip the Line Must-Sees Guided Tour,no data provided,no data provided,£47,1-2 hours,Trip.com
"The Eiffel Tower district, audio-guided walking tour on smartphone",no data provided,no data provided,£9,1-2 hours,Trip.com
"Bastille: Architecture, Artisans and Anarchy - Immersive Podcast Tour",no data provided,no data provided,£10,45-60 minutes,Trip.com
Tootbus Paris Kids Tour: Sightseeing Live Guided Tour ,no data provided,no data provided,£17,1-2 hours,Trip.com
French Group Tour 180 min,no data provided,no data provided,£42,3 hours,Viator
The Da Vinci Code in Paris: Follow the Trail with a Local,no data provided,no data provided,£35,1-2 hours,Viator
Île de la Cité: Where Paris Was Born Walking Audio Tour,no data provided,no data provided,£6,1 hour,Viator
C'est Amour Tour of Local Galleries and Up and Coming Designers,no data provided,no data provided,£47,2 hours,Viator
Tootbus Paris Kids Tour: Sightseeing Live Guided Tour,no data provided,no data provided,£17,1-2 hours,Viator
Paris' Pere Lachaise Cemetery Audio Tour on Mobile App,no data provided,no data provided,£13,2 hours,Viator
Finding the Lost Generation in Montparnasse Walking Audio Tour,no data provided,no data provided,£6,1 hour,Viator
Louvre Museum Priority Access Ticket & Digital Audio guide,no data provided,no data provided,£25,30-300 minutes,Viator
Watch the Renovation of Notre Dame of Paris with a local tour Guide,no data provided,no data provided,£16,1-2 hours,Viator
Invader Hunt - Street Art Tour of le Marais,no data provided,no data provided,£31,2 hours,Viator
All-terrain electric scooter ride along the Seine,no data provided,no data provided,£48,2 hours,Viator
Trendy Marais: Street Art and Food Self-Guided Audio Tour,no data provided,no data provided,£16,2 hours,Viator
Discover Paris: 2-Hour Walking Tour of the Old Town,no data provided,no data provided,£10,2 hours,Viator
Musée d'Orsay Museum Audio Guided Skip-the-Line access,no data provided,no data provided,£42,2 hours,Viator
Le Marais: The Paris Neighborhood That Has It All Walking Audio Tour,no data provided,no data provided,£6,1 hour,Viator
Skip-the-Line: Louvre Museum with audio guide & Self-Guided Tours in Paris,no data provided,no data provided,£29,2 hours,Viator
Paris macarons and champagne hotel delivery,no data provided,no data provided,£47,1 hour,Viator
Audio Tour to Covered Passages of Paris,no data provided,no data provided,£15,1-2 hours,Viator
Musée d'Orsay and Musée de l'Orangerie Tickets with In-App Audio Tour,no data provided,no data provided,£49,3 hours,Viator
Skip-the-Line Opera Garnier and Self-Guided Tours in Paris,no data provided,no data provided,£15,1 hour,Viator
Paris red roses hotel delivery - PER 10 ROSES.,no data provided,no data provided,£39,1 hour,Viator
Paris: Montmartre Neighbourhood Tour,no data provided,no data provided,£36,2 hours,Viator
Marais: Explore this historic neighbourhood on a kid-friendly audio walking tour,no data provided,no data provided,£4,45-75 minutes,Viator
Guided 2-Hour Tour Secret Face of Montmartre,no data provided,no data provided,£17,2 hours,Viator
Louvre Treasures: Audio Guided Visit of the Museum Digital Experience,no data provided,no data provided,£31,3 hours,Viator
Private excursion in an all-terrain electric scooter,no data provided,no data provided,£44,1-2 hours,Viator
Visit the Eiffel Tower at your own pace Self-guided audio tour,no data provided,no data provided,£5,30-180 minutes,Viator
Tootbus Paris Vintage Guided Tour,no data provided,no data provided,£25,1-2 hours,Viator
Paris Hop-On Hop-Off Tour and 4 Self-Guided Walking Tours,no data provided,no data provided,£44,2 hours,Viator
Through Paris in the footsteps of Audrey Hepburn Walking Audio Tour,no data provided,no data provided,£6,1 hour,Viator
Musée d'Orsay Dedicated Entrance Tickets,no data provided,no data provided,£18,2 hours,Viator
Discover the Cinematic Side of Paris with a Local,no data provided,no data provided,£43,2 hours,Viator
Private Orsay Museum Guided Tour With Admission Tickets,no data provided,no data provided,£48,2 hours,Viator
Paris: 4 Self-Guided City Tours to explore the city at your own pace,no data provided,no data provided,£13,2-6 hours,Viator
Guided Tour of a Parisian Quarter,no data provided,no data provided,£16,1-2 hours,Viator
Skip-the-line: Access to Montparnasse Tower Roof Terrace Visit & Seine Cruise,no data provided,no data provided,£28,2 hours,Viator
Montmartre: Explore this classic Parisian neighborhood on an audio walking tour,no data provided,no data provided,£6,1-2 hours,Viator
Photogenic Paris with a Local,no data provided,no data provided,£43,2 hours,Viator
Discover the Story of Coco Chanel with a Local in Paris,no data provided,no data provided,£43,2 hours,Viator
The Tuileries Garden's Classic Sights: A Self-Guided Audio Tour,no data provided,no data provided,£5,1 hour,Viator
Hidden Treasures of the Marais Kids and Family Tour,no data provided,no data provided,£40,2 hours,Viator
Paris : Seine Cruise & Champagne tasting at the Foot of the Eiffel Tower,no data provided,no data provided,£19,1-2 hours,Viator
Private Guided Tour of the Louvre Museum,no data provided,no data provided,£38,2 hours,Viator
Discovering Paris Self-Guided Audio Tour along the River Seine,no data provided,no data provided,£9,3 hours,Viator
Paris: Arc de Triomphe Rooftop Tickets with optional Guide,no data provided,no data provided,£25,2-3 hours,Viator
Orsay Museum Self Guided Audio Tour (no entrance ticket),no data provided,no data provided,£6,1 hour,Viator
Secrets of the Latin Quarter with Pantheon Dome Climb,no data provided,no data provided,£43,2-3 hours,Viator
Catacombs Tour in Paris,no data provided,no data provided,£66,2 hours,Viator
"Paris Seine River Evening Cruise with French Cold Cuts, Cheeses Board & Wine",no data provided,no data provided,£38,2 hours,Viator
Seine Cruise and Private Audio-Guided Eiffel Tower District Tour,no data provided,no data provided,£22,2-3 hours,Viator
Musée de l'Orangerie Skip-the-Line Ticket with Audio Tour,no data provided,no data provided,£22,45 minutes,Viator
Half-Day Paris Right Bank Small-Group Walking Tour,no data provided,no data provided,£50,3-4 hours,Viator
Admission Ticket to Fondation Louis Vuitton with Audio Guide,no data provided,no data provided,£38,2 hours,Viator
Carriage ride in the french countryside,no data provided,no data provided,£26,2 hours,Viator
Private Personalized Paris.,no data provided,no data provided,£34,2 hours,Viator
Private Montparnasse District 2-Hour Guided Tour in Paris,no data provided,no data provided,£44,2 hours,Viator
The Instagrammable Places of Paris with a Local,no data provided,no data provided,£38,1-2 hours,Viator
Discover Highlights of Impressionism and Hidden Gems in Musée d'Orsay,no data provided,no data provided,£35,2 hours,Viator
Paris Musee d'Orsay: Audio Guide Included (priority entrence),no data provided,no data provided,£14,2-3 hours,Viator
C'est Amour Traveling Singles Meet Up and Tour of Paris,no data provided,no data provided,£47,2 hours,Viator
Discover Paris in 90 Minutes with a Local,no data provided,no data provided,£33,1-2 hours,Viator
Private City Exploration Game for Couples in Paris,no data provided,no data provided,£6,2 hours,Viator
Les Invalides Priority Entrance Ticket with In-App Audio Guide,no data provided,no data provided,£25,2 hours,Viator
Skip the Line: Experience the World's greatest Volleyball match in Paris Ticket,no data provided,no data provided,£15,1-2 hours,Viator
Paris : PSG Football Stadium and Museum Tour,no data provided,no data provided,£33,2-3 hours,Viator
Skip-the-Line Eiffel Tower Small Group Tour with Priority Access,no data provided,no data provided,£50,1-2 hours,Viator
Skip the Line: Monnaie de Paris Ticket,no data provided,no data provided,£10,2 hours,Viator
Timed Entry Tickets to Centre Pompidou & Access to Self-Guided Tours in Paris,no data provided,no data provided,£23,2-6 hours,Viator
"The Eiffel Tower district, audio-guided walking tour on smartphone",no data provided,no data provided,£9,1-2 hours,Viator
Spectacular Paris Self-Guided Audio Tour,no data provided,no data provided,£12,2-3 hours,Viator
Louvre Museum Self Guided Audio Tour (no entrance ticket),no data provided,no data provided,£6,1 hour,Viator
Small-Group Beyond the Eiffel Tower Tour in Paris,no data provided,no data provided,£42,3 hours,Viator
The Soul of Montmartre Walking Tour,no data provided,no data provided,£28,1-2 hours,Viator
Helium Letters Paris Proposal,no data provided,no data provided,£19,1 hour,Viator
Louvre Museum Special Access : With Optional Audio Guide,no data provided,no data provided,£8,2-3 hours,Viator
Musée d’Orsay Skip-the-Line Ticket and Mobile App Audio Tour,no data provided,no data provided,£27,2 hours,Viator
"Explore the Marais, Montmartre and Île de la Cité with three audio walking tours",no data provided,no data provided,£14,1-4 hours,Viator
Private Photoshoot at the Louvre area in Paris,no data provided,no data provided,£51,1 hour,Viator
C'est Amour Romantic Parisian Walking Tours,no data provided,no data provided,£47,2 hours,Viator
Private Covered Passages & Palais Royal Gardens 2-Hour Tour,no data provided,no data provided,£44,2 hours,Viator
Conciergerie Entrance Ticket & Seine River Cruise,no data provided,no data provided,£20,2 hours,Viator
Guided tour of the Lower Town of Provins from € 15 to € 40 max / person,no data provided,no data provided,£34,1-2 hours,Viator
Eiffel Tower: Podcast Tour from Trocadero to the Eiffel Tower,no data provided,no data provided,£5,40-50 minutes,Viator
Le Marais Guided Walking Tour,no data provided,no data provided,£38,2-3 hours,Viator
Guided tour of Versailles by train from Paris,no data provided,no data provided,£36,7 hours,Viator
Guided Walking Tour: Iconic Neighborhoods of Paris,no data provided,no data provided,£16,1-2 hours,Viator
Small Group The French Revolution Tour with a Local History Expert,no data provided,no data provided,£19,2-3 hours,Viator
Skip-the-line: Picasso Museum & Access to Self-Guided Tours in Paris,no data provided,no data provided,£18,1-3 hours,Viator
Paris heart balloons bouquet hotel delivery,no data provided,no data provided,£30,1 hour,Viator
Artistic Montmartre Audio Tour on the Mobile App,no data provided,no data provided,£9,1-2 hours,Viator
Paris : Seine River Cruise with Breakfast on Champs-Elysees Avenue,no data provided,no data provided,£22,1-2 hours,Viator
Paris by Night Walking Tour in Spanish,no data provided,no data provided,£10,2 hours,Viator
Arc de Triomphe Rooftop Experience and Self-Guided Tours around Paris,no data provided,no data provided,£18,30 minutes,Viator
Seine River Cruise and Champagne Experience,no data provided,no data provided,£25,1-2 hours,Viator
French Cinema Marais / MIDNIGHT IN PARIS,no data provided,no data provided,£22,4 hours,Viator
Paris Eiffel Tower Neighbourhood Tour With A Local,no data provided,no data provided,£45,2-3 hours,Viator
Eiffel Tower Guided Tour with Skip-the-Line and Summit Access,no data provided,no data provided,£38,2 hours,Viator
Fast-Track Louvre Museum E-Ticket with Mobile App Audio Tour,no data provided,no data provided,£34,3 hours,Viator
Paris Walking Tour Pass with 3 Guided and 8 Self-Guided Routes,no data provided,no data provided,£25,1 day,Viator
Private historical tour in Paris with Marie Antoinette,no data provided,no data provided,£30,1-2 hours,Viator
Sunset Cruise with drink + City Walking Tour,no data provided,no data provided,£24,2 hours,Viator
Fat Cat gets the Early Bird: Montmartre,no data provided,no data provided,£51,2 hours,Viator
Paris City Self-Guided Tours and Behind the Scenes Tour of the Grand Rex,no data provided,no data provided,£16,50 minutes,Viator
Arc de Triomphe Rooftop Access Ticket with In-app Audio Tour,no data provided,no data provided,£23,Free cancellation,Viator
Sainte Chapelle Skip-the-Line Ticket with Audio Tour,no data provided,no data provided,£20,1 hour,Viator
Paris: Relaxing Seine Cruise and City Walking Tour,no data provided,no data provided,£22,2 hours,Viator
Tootbus Paris Express: Sightseeing Bus Tour,no data provided,no data provided,£21,2 hours,Viator
Palais Royal - History & Shopping in Paris (Small Group Walking Tour),no data provided,no data provided,£34,1-2 hours,Viator
Art and Culture in Paris with a Local,no data provided,no data provided,£38,1-2 hours,Viator
Paris at Christmas with The Champs Elysées & the Arc de Triomphe,no data provided,no data provided,£39,2 hours,Viator
Shop Paris like a Local: Unique French Handcrafted Products (Small Group Tour),no data provided,no data provided,£30,2 hours,Viator
Roman Ruins and Gothic Churches Latin Quarter Audio Tour,no data provided,no data provided,£13,1-2 hours,Viator
Flâneurs of Belleville: Explore the art of city walking on an audio walking tour,no data provided,no data provided,£4,30-45 minutes,Viator
Paris Walking Tour with fast track ticket for the Louvre,no data provided,no data provided,£35,2 hours,Viator
Le Marais: Secret Stories & Invisible Details Walking Audio Tour,no data provided,no data provided,£5,40 minutes,Viator
Skip-the-Line to Sainte Chapelle and Access to 4 Self-Guided Tours in Paris,no data provided,no data provided,£15,1 hour,Viator
Say i love you in Paris,no data provided,no data provided,£43,1 hour,Viator
Arc de Triomphe Access with Seine River Cruise & Breakfast on Champs-Elysées,no data provided,no data provided,£33,2-4 hours,Viator
Architectural Walk of Paris with a Local,no data provided,no data provided,£50,1-2 hours,Viator
Small-Group Walking Tour of the Secrets of Montmartre,no data provided,no data provided,£25,2 hours,Viator
Skip-the-line ticket for the Louvre Museum,no data provided,no data provided,£30,1-3 hours,Viator
Versailles Day Trip by Train from Paris,no data provided,no data provided,£37,3 hours,Viator
Small Group Tour in Montmartre with Crepe Included,no data provided,no data provided,£43,2-3 hours,Viator
Saint Germain des Prés: Uncover this authentic Parisian corner on an audio walk,no data provided,no data provided,£6,1 hour,Viator
"Paris Street Art, smartphone audioguided tour",no data provided,no data provided,£9,1-2 hours,Trip.com
Virtual Tour: Paris Live! Revolution in the heart of Paris ,no data provided,no data provided,£9,45 minutes,Trip.com
"Marais HiddenTreasures, audioguided walking tour",no data provided,no data provided,£9,1-2 hours,Trip.com
Louvre Museum Skip-the-line Ticket & Seine River Cruise,no data provided,no data provided,£35,5 hours,Trip.com
Private Paris Ghost Tour: Mona Lisa's Murder Night-time Exploration Game,no data provided,no data provided,£4,1-2 hours,Trip.com
"Luxury Paris, french fashion history walking tour",no data provided,no data provided,£22,1-2 hours,Trip.com
Spectacular Paris Self-Guided Audio Tour,no data provided,no data provided,£12,2-3 hours,Trip.com
Sunset Cruise with drink + City Walking Tour,no data provided,no data provided,£24,2 hours,Trip.com
Discover Montmartre and visit the Basilica of Sacré-Coeur,no data provided,no data provided,£35,2 hours,Trip.com
Seine River Cruise & French Crepe Tasting At The Foot of the Eiffel Tower,no data provided,no data provided,£17,1 hour,Trip.com
Guided Walking Tour: Iconic Neighborhoods of Paris,no data provided,no data provided,£17,1-2 hours,Trip.com
Behind the scenes of UNESCO,no data provided,no data provided,£13,1-2 hours,Trip.com
Secret Paris Tour on a dutch bike,no data provided,no data provided,£30,3 hours,Trip.com
Rise of Napoleon - Paris Guided Historic Walk,no data provided,no data provided,£25,2 hours,Trip.com
"2 hour outdoor group activity in Paris: PARIS, MON COEUR",no data provided,no data provided,£21,2 hours,Trip.com
Paris at Christmas with The Champs Elysées & the Arc de Triomphe,no data provided,no data provided,£39,2 hours,Trip.com
Private historical tour in Paris with Marie Antoinette,no data provided,no data provided,£30,1-2 hours,Trip.com
"Royal Palace & Covered Passages, audioguided tour",no data provided,no data provided,£9,1-2 hours,Trip.com
Visit the Eiffel Tower at your own pace Self-guided audio tour,no data provided,no data provided,£5,No data provided,Trip.com
Discover Highlights of Impressionism and Hidden Gems in Musée d'Orsay,no data provided,no data provided,£35,2 hours,Trip.com
Seine River Cruise and Champagne Experience,no data provided,no data provided,£26,1-2 hours,Trip.com
Visit the Eiffel Tower with Experienced Guide | Elevator to the 2nd Floor,no data provided,no data provided,£33,2 hours,Trip.com
Louvre Treasures: Audio Guided Visit of the Museum Digital Experience,no data provided,no data provided,£31,3 hours,Trip.com
Montmartre Guided Tour with Sacré Cœur Church and City views,no data provided,no data provided,£42,2-3 hours,Trip.com
Latin Quarter: Immersive podcast walk to discover La Sorbonne and the Pantheon,no data provided,no data provided,£7,45 minutes,Trip.com
"Trendy Marais, smartphone audioguided walking tour",no data provided,no data provided,£9,1-2 hours,Trip.com
The Eiffel Tower: The universal gem of Paris,no data provided,no data provided,£8,40 minutes,Trip.com
Paris Eiffel Tower Neighbourhood Tour With A Local,no data provided,no data provided,£46,2-3 hours,Trip.com
"Audio guide in Louvre museum, Paris. For rent. Cheap and comfortable!",no data provided,no data provided,£18,No data provided,Trip.com
Self-Guided Paris Instagram Tour - Top Photo Spots,no data provided,no data provided,£5,1 hour,Trip.com
Train day trip to Versailles from Paris,no data provided,no data provided,£37,3 hours,Trip.com
America's Founding Fathers in Paris Guided Historic Walk,no data provided,no data provided,£25,2 hours,Trip.com
Sainte Chapelle Entrance Ticket & Seine River Cruise,no data provided,no data provided,£21,3 hours,Trip.com
"Scandalous Paris, audioguided smartphone tour",no data provided,no data provided,£9,1-2 hours,Trip.com
Paris Far from the Crowd Summer Night Tour with a Local Guide,no data provided,no data provided,£26,1-2 hours,Trip.com
Paris By Night tour on a dutch bike,no data provided,no data provided,£30,3 hours,Trip.com
Claude Monet in Paris : World's largest collection,no data provided,no data provided,£24,1-2 hours,Trip.com
Paris Podcast Tours: Unlock the authentic side to Paris,no data provided,no data provided,£26,1-6 hours,Trip.com
Paris Segway Bachelor Party - Young Girl (EVG - EVJF),no data provided,no data provided,£42,1-2 hours,Trip.com
French Cinema Marais / MIDNIGHT IN PARIS,no data provided,no data provided,£22,4 hours,Trip.com
Saint Germain des Prés: Uncover this authentic Parisian corner on an audio walk,no data provided,no data provided,£6,1 hour,Trip.com
